[2026-02-12 17:33:12] IP: 172.18.0.2 | ACTION: New Session Started
[2026-02-12 17:33:30] IP: 172.18.0.2 | ACTION: ILLEGAL DOWNLOAD ATTEMPT (Ctrl+S)
[2026-02-12 17:37:19] IP: 49.43.160.201 | ACTION: New Session Started
[2026-02-12 17:37:23] IP: 49.43.160.201 | ACTION: ILLEGAL DOWNLOAD ATTEMPT (Ctrl+S)
[2026-02-12 17:42:32] IP: 2409:40d2:3044:e9ea:8000:: | ACTION: New Session Started
[2026-02-12 17:42:33] IP: 2409:40d2:3044:e9ea:8000:: | ACTION: New Session Started
[2026-02-12 17:42:50] IP: 2409:40d2:3044:e9ea:8000:: | ACTION: New Session Started
[2026-02-12 17:43:07] IP: 2409:40d2:3044:e9ea:8000:: | ACTION: New Session Started
[2026-02-12 17:52:38] IP: 49.43.160.201 | ACTION: New Session Started
[2026-02-12 17:55:50] IP: 49.43.160.201 | ACTION: New Session Started
[2026-02-12 17:55:50] IP: 49.43.160.201 | ACTION: Right-Click Attempt
[2026-02-12 17:55:53] IP: 49.43.160.201 | ACTION: ILLEGAL DOWNLOAD ATTEMPT (Ctrl+S)
[2026-02-12 17:56:47] IP: 185.220.101.13 | ACTION: New Session Started
[2026-02-12 17:57:00] IP: 185.220.101.13 | ACTION: New Session Started
[2026-02-12 17:57:01] IP: 185.220.101.13 | ACTION: Right-Click Attempt
[2026-02-12 17:57:43] IP: 185.220.101.13 | ACTION: ILLEGAL DOWNLOAD ATTEMPT (Ctrl+S)
[2026-02-12 17:59:20] IP: 185.220.101.13 | ACTION: New Session Started
[2026-02-12 17:59:38] IP: 185.220.101.13 | ACTION: New Session Started
[2026-02-12 17:59:44] IP: 185.220.101.13 | ACTION: New Session Started
[2026-02-12 18:43:36] IP: 49.43.160.201 | ACTION: New Session Started
[2026-02-12 18:54:25] IP: 49.43.160.201 | ACTION: New Session Started
[2026-02-12 18:54:25] IP: 49.43.160.201 | ACTION: Right-Click Attempt
[2026-02-12 18:54:51] IP: 49.43.160.201 | ACTION: Right-Click Attempt
[2026-02-12 18:54:54] IP: 49.43.160.201 | ACTION: ILLEGAL DOWNLOAD ATTEMPT (Ctrl+S)
[2026-02-12 19:01:48] IP: 49.43.160.201 | ACTION: New Session Started
[2026-02-12 19:01:48] IP: 49.43.160.201 | ACTION: Right-Click Attempt
[2026-02-12 19:15:05] IP: 49.43.160.201 | ACTION: New Session Started
[2026-02-12 19:24:03] IP: 49.43.160.201 | ACTION: New Session Started
[2026-02-12 19:24:16] IP: 49.43.160.201 | ACTION: New Session Started
[2026-02-12 19:24:50] IP: 49.43.160.201 | ACTION: New Session Started
[2026-02-12 19:26:26] IP: 49.43.160.201 | ACTION: New Session Started
[2026-02-12 19:31:45] IP: 49.43.160.201 | ACTION: New Session Started
[2026-02-12 19:33:33] IP: 49.43.160.201 | ACTION: New Session Started
[2026-02-12 19:35:58] IP: 49.43.160.201 | ACTION: New Session Started
[2026-02-12 19:49:17] IP: 49.43.160.201 | ACTION: New Session Started
[2026-02-12 19:58:46] IP: 2409:40d2:3044:e9ea:8000:: | ACTION: New Session Started
[2026-02-12 19:58:48] IP: 2409:40d2:3044:e9ea:8000:: | ACTION: New Session Started
[2026-02-12 20:03:37] IP: 49.43.160.201 | ACTION: New Session Started
